"";"verbatimIdentification";"scientificName";"ScientificName2010";"ScientificName2018";"BirdTree";"tip.label"
"190";"Aythya collaris";"Aythya collaris";"Aythya collaris";"Aythya collaris";"Aythya collaris";"Aythya_collaris"
"191";"Gavia immer";"Gavia immer";"Gavia immer";"Gavia immer";"Gavia immer";"Gavia_immer"
"192";"Dendroica pinus";"Setophaga pinus";"Dendroica pinus";"Setophaga pinus";"Dendroica pinus";"Dendroica_pinus"
"193";"Spizella pallida";"Spizella pallida";"Spizella pallida";"Spizella pallida";"Spizella pallida";"Spizella_pallida"
"194";"Spiza americana";"Spiza americana";"Spiza americana";"Spiza americana";"Spiza americana";"Spiza_americana"
"195";"Dendroica cerulea";"Setophaga cerulea";"Dendroica cerulea";"Setophaga cerulea";"Dendroica cerulea";"Dendroica_cerulea"
"196";"Icteria virens";"Icteria virens";"Icteria virens";"Icteria virens";"Icteria virens";"Icteria_virens"
"197";"Larus marinus";"Larus marinus";"Larus marinus";"Larus marinus";"Larus marinus";"Larus_marinus"
"198";"Hydropogne caspia";"Hydroprogne caspia";"Sterna caspia";"Hydroprogne caspia";"Sterna caspia";"Sterna_caspia"
"199";"Vermivora chrysoptera";"Vermivora chrysoptera";"Vermivora chrysoptera";"Vermivora chrysoptera";"Vermivora chrysoptera";"Vermivora_chrysoptera"
"200";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus_argentatus"
"201";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus argentatus";"Larus_argentatus"
"202";"Anas americana";"Mareca americana";"Anas americana";"Mareca americana";"Anas americana";"Anas_americana"
"203";"Dendroica discolor";"Setophaga discolor";"Dendroica discolor";"Setophaga discolor";"Dendroica discolor";"Dendroica_discolor"
"204";"Aegolius acadicus";"Aegolius acadicus";"Aegolius acadicus";"Aegolius acadicus";"Aegolius acadicus";"Aegolius_acadicus"
"205";"Oporornis formosus";"Geothlypis formosa";"Oporornis formosus";"Geothlypis formosa";"Oporornis formosus";"Oporornis_formosus"
"206";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus_elegans"
"207";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus elegans";"Rallus_elegans"
"208";"Regulus calendula";"Corthylio calendula";"Regulus calendula";"Regulus calendula";"Regulus calendula";"Regulus_calendula"
"209";"Larus delawarensis";"Larus delawarensis";"Larus delawarensis";"Larus delawarensis";"Larus delawarensis";"Larus_delawarensis"
"210";"Phalacrocorax auritus";"Nannopterum auritus";"Phalacrocorax auritus";"Nannopterum auritus";"Phalacrocorax auritus";"Phalacrocorax_auritus"
"211";"Ardea alba";"Ardea alba";"Casmerodius albus";"Ardea alba";"Casmerodius albus";"Casmerodius_albus"
"212";"Aquila chrysaetos";"Aquila chrysaetos";"Aquila chrysaetos";"Aquila chrysaetos";"Aquila chrysaetos";"Aquila_chrysaetos"
"213";"Egretta thula";"Egretta thula";"Egretta thula";"Egretta thula";"Egretta thula";"Egretta_thula"
"214";"Caprimulgus vociferus";"Antrostomus vociferus";"Caprimulgus vociferus";"Antrostomus vociferus";"Caprimulgus vociferus";"Caprimulgus_vociferus"
"215";"Dendroica dominica";"Setophaga dominica";"Dendroica dominica";"Setophaga dominica";"Dendroica dominica";"Dendroica_dominica"
"216";"Helmitheros vermivorum";"Helmitheros vermivorum";"Helmitheros vermivorum";"Helmitheros vermivorum";"Helmitheros vermivorum";"Helmitheros_vermivorum"
"217";"Aythya americana";"Aythya americana";"Aythya americana";"Aythya americana";"Aythya americana";"Aythya_americana"
"218";"Aythya affinis";"Aythya affinis";"Aythya affinis";"Aythya affinis";"Aythya affinis";"Aythya_affinis"
"219";"Lanius ludovicianus";"Lanius ludovicianus";"Lanius ludovicianus";"Lanius ludovicianus";"Lanius ludovicianus";"Lanius_ludovicianus"
"220";"Sturnella neglecta";"Sturnella neglecta";"Sturnella neglecta";"Sturnella neglecta";"Sturnella neglecta";"Sturnella_neglecta"
"221";"Loxia leucoptera";"Loxia leucoptera";"Loxia leucoptera";"Loxia leucoptera";"Loxia leucoptera";"Loxia_leucoptera"
"222";"Corvus ossifragus";"Corvus ossifragus";"Corvus ossifragus";"Corvus ossifragus";"Corvus ossifragus";"Corvus_ossifragus"
"223";"Mergus serrator";"Mergus serrator";"Mergus serrator";"Mergus serrator";"Mergus serrator";"Mergus_serrator"
"224";"Aythya valisineria";"Aythya valisineria";"Aythya valisineria";"Aythya valisineria";"Aythya valisineria";"Aythya_valisineria"
"225";"Bubulcus ibis";"Bubulcus ibis";"Bubulcus ibis";"Bubulcus ibis";"Bubulcus ibis";"Bubulcus_ibis"
"226";"Charadrius melodus";"Charadrius melodus";"Charadrius melodus";"Charadrius melodus";"Charadrius melodus";"Charadrius_melodus"
"227";"Contopus cooperi";"Contopus cooperi";"Contopus cooperi";"Contopus cooperi";"Contopus cooperi";"Contopus_cooperi"
"228";"Empidonax flaviventris";"Empidonax flaviventris";"Empidonax flaviventris";"Empidonax flaviventris";"Empidonax flaviventris";"Empidonax_flaviventris"
"229";"Vireo philadelphicus";"Vireo philadelphicus";"Vireo philadelphicus";"Vireo philadelphicus";"Vireo philadelphicus";"Vireo_philadelphicus"
"230";"Melospiza lincolnii";"Melospiza lincolnii";"Melospiza lincolnii";"Melospiza lincolnii";"Melospiza lincolnii";"Melospiza_lincolnii"
"231";"Euphagus carolinus";"Euphagus carolinus";"Euphagus carolinus";"Euphagus carolinus";"Euphagus carolinus";"Euphagus_carolinus"
"232";"Poecile hudsonicus";"Poecile hudsonicus";"Parus hudsonicus";"Poecile hudsonicus";"Parus hudsonicus";"Parus_hudsonicus"
"233";"Picoides arcticus";"Picoides arcticus";"Picoides arcticus";"Picoides arcticus";"Picoides arcticus";"Picoides_arcticus"
"234";"Dendroica castanea";"Setophaga castanea";"Dendroica castanea";"Setophaga castanea";"Dendroica castanea";"Dendroica_castanea"
"235";"Dendroica striata";"Setophaga striata";"Dendroica striata";"Setophaga striata";"Dendroica striata";"Dendroica_striata"
"236";"Perisoreus canadensis";"Perisoreus canadensis";"Perisoreus canadensis";"Perisoreus canadensis";"Perisoreus canadensis";"Perisoreus_canadensis"
"237";"Vermivora peregrina";"Leiothlypis peregrina";"Vermivora peregrina";"Leiothlypis peregrina";"Vermivora peregrina";"Vermivora_peregrina"
"238";"Dendroica palmarum";"Setophaga palmarum";"Dendroica palmarum";"Setophaga palmarum";"Dendroica palmarum";"Dendroica_palmarum"
"239";"Catharus bicknelli";"Catharus bicknelli";"Catharus bicknelli";"Catharus bicknelli";"Catharus bicknelli";"Catharus_bicknelli"
"240";"Dendroica tigrina";"Setophaga tigrina";"Dendroica tigrina";"Setophaga tigrina";"Dendroica tigrina";"Dendroica_tigrina"
"241";"Passerina caerulea";"Passerina caerulea";"Passerina caerulea";"Passerina caerulea";"Passerina caerulea";"Passerina_caerulea"
"242";"Wilsonia pusilla";"Cardellina pusilla";"Wilsonia pusilla";"Cardellina pusilla";"Wilsonia pusilla";"Wilsonia_pusilla"
"243";"Ammodramus caudacutus";"Ammospiza caudacuta";"Ammodramus caudacutus";"Ammospiza caudacuta";"Ammodramus caudacutus";"Ammodramus_caudacutus"
"244";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus_longirostris"
"245";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus_longirostris"
"246";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus longirostris";"Rallus_longirostris"
"247";"Quiscalus major";"Quiscalus major";"Quiscalus major";"Quiscalus major";"Quiscalus major";"Quiscalus_major"
"248";"Caprimulgus carolinensis";"Antrostomus carolinensis";"Caprimulgus carolinensis";"Antrostomus carolinensis";"Caprimulgus carolinensis";"Caprimulgus_carolinensis"
"249";"Leucophaeus atricilla";"Larus atricilla";"Larus atricilla";"Larus atricilla";"Larus atricilla";"Larus_atricilla"
"250";"Haematopus palliatus";"Haematopus palliatus";"Haematopus palliatus";"Haematopus palliatus";"Haematopus palliatus";"Haematopus_palliatus"
"251";"Plegadis falcinellus";"Plegadis falcinellus";"Plegadis falcinellus";"Plegadis falcinellus";"Plegadis falcinellus";"Plegadis_falcinellus"
"252";"Tringa semipalmata";"Tringa semipalmata";"Catoptrophorus semipalmatus";"Tringa semipalmata";"Catoptrophorus semipalmatus";"Catoptrophorus_semipalmatus"
"253";"Nyctanassa violacea";"Nyctanassa violacea";"Nyctanassa violacea";"Nyctanassa violacea";"Nyctanassa violacea";"Nyctanassa_violacea"
"254";"Egretta caerulea";"Egretta caerulea";"Egretta caerulea";"Egretta caerulea";"Egretta caerulea";"Egretta_caerulea"
"255";"Ammodramus maritimus";"Ammospiza maritima";"Ammodramus maritimus";"Ammospiza maritima";"Ammodramus maritimus";"Ammodramus_maritimus"
"256";"Egretta tricolor";"Egretta tricolor";"Egretta tricolor";"Egretta tricolor";"Egretta tricolor";"Egretta_tricolor"
"257";"Piranga rubra";"Piranga rubra";"Piranga rubra";"Piranga rubra";"Piranga rubra";"Piranga_rubra"
"258";"Sternula antillarum";"Sternula antillarum";"Sterna antillarum";"Sternula antillarum";"Sterna antillarum";"Sterna_antillarum"
"259";"Rynchops niger";"Rynchops niger";"Rynchops niger";"Rynchops niger";"Rynchops niger";"Rynchops_niger"
"260";"Gelochelidon nilotica";"Gelochelidon nilotica";"Sterna nilotica";"Gelochelidon nilotica";"Sterna nilotica";"Sterna_nilotica"
"261";"Sterna forsteri";"Sterna forsteri";"Sterna forsteri";"Sterna forsteri";"Sterna forsteri";"Sterna_forsteri"
"262";"Sterna dougallii";"Sterna dougallii";"Sterna dougallii";"Sterna dougallii";"Sterna dougallii";"Sterna_dougallii"
"263";"Laterallus jamaicensis";"Laterallus jamaicensis";"Laterallus jamaicensis";"Laterallus jamaicensis";"Laterallus jamaicensis";"Laterallus_jamaicensis"
"264";"Falcipennis canadensis";"Canachites canadensis";NA;NA;NA;NA
"265";"Anas platyrhynchos x A. rubripes";"Anas platyrhynchos x Anas rubripes";NA;NA;NA;NA
"266";"Vermivora chrysoptera x V. pinus";"Vermivora chrysoptera x Vermivora pinus";NA;NA;NA;NA
