"";"verbatimIdentification";"scientificName";"ScientificName2010";"ScientificName2018";"BirdTree";"tip.label"
"69";"Dendroica petechia";"Setophaga petechia";"Dendroica petechia";"Setophaga petechia";"Dendroica petechia";"Dendroica_petechia"
"70";"Passerina cyanea";"Passerina cyanea";"Passerina cyanea";"Passerina cyanea";"Passerina cyanea";"Passerina_cyanea"
"71";"Empidonax traillii";"Empidonax traillii";"Empidonax traillii";"Empidonax traillii";"Empidonax traillii";"Empidonax_traillii"
"72";"Progne subis";"Progne subis";"Progne subis";"Progne subis";"Progne subis";"Progne_subis"
"73";"Dolichonyx oryzivorus";"Dolichonyx oryzivorus";"Dolichonyx oryzivorus";"Dolichonyx oryzivorus";"Dolichonyx oryzivorus";"Dolichonyx_oryzivorus"
"74";"Sturnella magna";"Sturnella magna";"Sturnella magna";"Sturnella magna";"Sturnella magna";"Sturnella_magna"
"75";"Columba livia";"Columba livia";"Columba livia";"Columba livia";"Columba livia";"Columba_livia"
"76";"Megascops asio";"Megascops asio";"Megascops asio";"Megascops asio";"Megascops asio";"Megascops_asio"
"77";"Spizella pusilla";"Spizella pusilla";"Spizella pusilla";"Spizella pusilla";"Spizella pusilla";"Spizella_pusilla"
"78";"Picoides pubescens";"Dryobates pubescens";"Picoides pubescens";"Dryobates pubescens";"Picoides pubescens";"Picoides_pubescens"
"79";"Empidonax virescens";"Empidonax virescens";"Empidonax virescens";"Empidonax virescens";"Empidonax virescens";"Empidonax_virescens"
"80";"Geothlypis trichas";"Geothlypis trichas";"Geothlypis trichas";"Geothlypis trichas";"Geothlypis trichas";"Geothlypis_trichas"
"81";"Dendroica fusca";"Setophaga fusca";"Dendroica fusca";"Setophaga fusca";"Dendroica fusca";"Dendroica_fusca"
"82";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus_sandwichensis"
"83";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus_sandwichensis"
"84";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus_sandwichensis"
"85";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus sandwichensis";"Passerculus_sandwichensis"
"86";"Contopus virens";"Contopus virens";"Contopus virens";"Contopus virens";"Contopus virens";"Contopus_virens"
"87";"Dendroica magnolia";"Setophaga magnolia";"Dendroica magnolia";"Setophaga magnolia";"Dendroica magnolia";"Dendroica_magnolia"
"88";"Sphyrapicus varius";"Sphyrapicus varius";"Sphyrapicus varius";"Sphyrapicus varius";"Sphyrapicus varius";"Sphyrapicus_varius"
"89";"Molothrus ater";"Molothrus ater";"Molothrus ater";"Molothrus ater";"Molothrus ater";"Molothrus_ater"
"90";"Sayornis phoebe";"Sayornis phoebe";"Sayornis phoebe";"Sayornis phoebe";"Sayornis phoebe";"Sayornis_phoebe"
"91";"Wilsonia citrina";"Setophaga citrina";"Wilsonia citrina";"Setophaga citrina";"Wilsonia citrina";"Wilsonia_citrina"
"92";"Myiarchus crinitus";"Myiarchus crinitus";"Myiarchus crinitus";"Myiarchus crinitus";"Myiarchus crinitus";"Myiarchus_crinitus"
"93";"Carpodacus purpureus";"Haemorhous purpureus";"Carpodacus purpureus";"Haemorhous purpureus";"Carpodacus purpureus";"Carpodacus_purpureus"
"94";"Coccyzus americanus";"Coccyzus americanus";"Coccyzus americanus";"Coccyzus americanus";"Coccyzus americanus";"Coccyzus_americanus"
"95";"Seiurus motacilla";"Parkesia motacilla";"Seiurus motacilla";"Parkesia motacilla";"Seiurus motacilla";"Seiurus_motacilla"
"96";"Sitta canadensis";"Sitta canadensis";"Sitta canadensis";"Sitta canadensis";"Sitta canadensis";"Sitta_canadensis"
"97";"Zenaida macroura";"Zenaida macroura";"Zenaida macroura";"Zenaida macroura";"Zenaida macroura";"Zenaida_macroura"
"98";"Oporornis philadelphia";"Geothlypis philadelphia";"Oporornis philadelphia";"Geothlypis philadelphia";"Oporornis philadelphia";"Oporornis_philadelphia"
"99";"Megaceryle alcyon";"Megaceryle alcyon";"Megaceryle alcyon";"Megaceryle alcyon";"Megaceryle alcyon";"Megaceryle_alcyon"
"100";"Chaetura pelagica";"Chaetura pelagica";"Chaetura pelagica";"Chaetura pelagica";"Chaetura pelagica";"Chaetura_pelagica"
"101";"Spinus tristis";"Spinus tristis";"Carduelis tristis";"Spinus tristis";"Carduelis tristis";"Carduelis_tristis"
"102";"Poecile atricapillus";"Poecile atricapillus";"Parus atricapillus";"Poecile atricapillus";"Parus atricapillus";"Parus_atricapillus"
"103";"Melospiza melodia";"Melospiza melodia";"Melospiza melodia";"Melospiza melodia";"Melospiza melodia";"Melospiza_melodia"
"104";"Dendroica caerulescens";"Setophaga caerulescens";"Dendroica caerulescens";"Setophaga caerulescens";"Dendroica caerulescens";"Dendroica_caerulescens"
"105";"Dendroica coronata";"Setophaga coronata";"Dendroica coronata";"Setophaga coronata";"Dendroica coronata";"Dendroica_coronata"
"106";"Dendroica coronata";"Setophaga coronata";"Dendroica coronata";"Setophaga coronata";"Dendroica coronata";"Dendroica_coronata"
"107";"Spizella passerina";"Spizella passerina";"Spizella passerina";"Spizella passerina";"Spizella passerina";"Spizella_passerina"
"108";"Melanerpes carolinus";"Melanerpes carolinus";"Melanerpes carolinus";"Melanerpes carolinus";"Melanerpes carolinus";"Melanerpes_carolinus"
"109";"Sialia sialis";"Sialia sialis";"Sialia sialis";"Sialia sialis";"Sialia sialis";"Sialia_sialis"
"110";"Falco sparverius";"Falco sparverius";"Falco sparverius";"Falco sparverius";"Falco sparverius";"Falco_sparverius"
"111";"Certhia americana";"Certhia americana";"Certhia americana";"Certhia americana";"Certhia americana";"Certhia_americana"
"112";"Sitta carolinensis";"Sitta carolinensis";"Sitta carolinensis";"Sitta carolinensis";"Sitta carolinensis";"Sitta_carolinensis"
"113";"Charadrius vociferus";"Charadrius vociferus";"Charadrius vociferus";"Charadrius vociferus";"Charadrius vociferus";"Charadrius_vociferus"
"114";"Archilochus colubris";"Archilochus colubris";"Archilochus colubris";"Archilochus colubris";"Archilochus colubris";"Archilochus_colubris"
"115";"Meleagris gallopavo";"Meleagris gallopavo";"Meleagris gallopavo";"Meleagris gallopavo";"Meleagris gallopavo";"Meleagris_gallopavo"
"116";"Dendroica virens";"Setophaga virens";"Dendroica virens";"Setophaga virens";"Dendroica virens";"Dendroica_virens"
"117";"Agelaius phoeniceus";"Agelaius phoeniceus";"Agelaius phoeniceus";"Agelaius phoeniceus";"Agelaius phoeniceus";"Agelaius_phoeniceus"
"118";"Aix sponsa";"Aix sponsa";"Aix sponsa";"Aix sponsa";"Aix sponsa";"Aix_sponsa"
"119";"Butorides virescens";"Butorides striata";"Butorides striata";"Butorides striata";"Butorides striata";"Butorides_striata"
"120";"Butorides virescens";"Butorides striata";"Butorides striata";"Butorides striata";"Butorides virescens";"Butorides_virescens"
"121";"Branta canadensis";"Branta canadensis";"Branta canadensis";"Branta canadensis";"Branta canadensis";"Branta_canadensis"
"122";"Ardea herodias";"Ardea herodias";"Ardea herodias";"Ardea herodias";"Ardea herodias";"Ardea_herodias"
"123";"Buteo platypterus";"Buteo platypterus";"Buteo platypterus";"Buteo platypterus";"Buteo platypterus";"Buteo_platypterus"
"124";"Cardinalis cardinalis";"Cardinalis cardinalis";"Cardinalis cardinalis";"Cardinalis cardinalis";"Cardinalis cardinalis";"Cardinalis_cardinalis"
"125";"Bonasa umbellus";"Bonasa umbellus";"Bonasa umbellus";"Bonasa umbellus";"Bonasa umbellus";"Bonasa_umbellus"
"126";"Bombycilla cedrorum";"Bombycilla cedrorum";"Bombycilla cedrorum";"Bombycilla cedrorum";"Bombycilla cedrorum";"Bombycilla_cedrorum"
"127";"Picoides villosus";"Leuconotopicus villosus";"Picoides villosus";"Leuconotopicus villosus";"Picoides villosus";"Picoides_villosus"
"128";"Vireo solitarius";"Vireo solitarius";"Vireo solitarius";"Vireo solitarius";"Vireo solitarius";"Vireo_solitarius"
"129";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus_spurius"
"130";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus spurius";"Icterus_spurius"
"131";"Accipiter cooperii";"Accipiter cooperii";"Accipiter cooperii";"Accipiter cooperii";"Accipiter cooperii";"Accipiter_cooperii"
"132";"Seiurus noveboracensis";"Parkesia noveboracensis";"Seiurus noveboracensis";"Parkesia noveboracensis";"Seiurus noveboracensis";"Seiurus_noveboracensis"
"133";"Catharus guttatus";"Catharus guttatus";"Catharus guttatus";"Catharus guttatus";"Catharus guttatus";"Catharus_guttatus"
"134";"Coccyzus erythropthalmus";"Coccyzus erythropthalmus";"Coccyzus erythropthalmus";"Coccyzus erythropthalmus";"Coccyzus erythropthalmus";"Coccyzus_erythropthalmus"
"135";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx_serripennis"
"136";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx serripennis";"Stelgidopteryx_serripennis"
"137";"Buteo lineatus";"Buteo lineatus";"Buteo lineatus";"Buteo lineatus";"Buteo lineatus";"Buteo_lineatus"
"138";"Gallinago delicata";"Gallinago delicata";"Gallinago gallinago";"Gallinago delicata";"Gallinago gallinago";"Gallinago_gallinago"
"139";"Protonotaria citrea";"Protonotaria citrea";"Protonotaria citrea";"Protonotaria citrea";"Protonotaria citrea";"Protonotaria_citrea"
"140";"Scolopax minor";"Scolopax minor";"Scolopax minor";"Scolopax minor";"Scolopax minor";"Scolopax_minor"
"141";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter chionogaster";"Accipiter_chionogaster"
"142";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter erythronemius";"Accipiter_erythronemius"
"143";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter_striatus"
"144";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter striatus";"Accipiter ventralis";"Accipiter_ventralis"
"145";"Actitis macularius";"Actitis macularius";"Actitis macularius";"Actitis macularius";"Actitis macularius";"Actitis_macularius"
"146";"Anas rubripes";"Anas rubripes";"Anas rubripes";"Anas rubripes";"Anas rubripes";"Anas_rubripes"
